q1,q2,q3,q4,q5,q6,px_r,py_r,pz_r,joint
-2.4179928298916522e-06,-4.726457193701662e-07,1.5699510717726073,1.7430821975748745e-05,-0.06278932370153271,7.527736185368144e-06,-0.46131470799446106,-0.9881800413131714,-1.9202215671539307,5.0
-1.9549059760256214e-05,-5.647412525952082e-06,1.5699465002177524,1.1327332958398293e-05,5.280237732930969e-06,2.935193715013963e-06,-0.4633534848690033,-0.9987645745277405,-1.9226086139678955,5.0
-7.60501032271106e-06,-2.9303471447671383e-06,1.5699527484154896,5.880756000070127e-06,0.0628113814916679,5.901375924690033e-06,-0.46485432982444763,-1.0092370510101318,-1.9239914417266846,5.0
-7.421963455626676e-06,-2.84595000048031e-06,1.5699574095840547,7.186509488029254e-06,0.1256182837264732,6.362137239316566e-06,-0.46595072746276855,-1.0198962688446045,-1.9251372814178467,5.0
-3.956225478904523e-06,-2.7298802181242755e-07,1.5699491096782514,1.089998596942859e-05,0.18840323126463046,2.4008042870357994e-06,-0.4665171802043915,-1.0304750204086304,-1.9258061647415161,5.0
-6.241949620131507e-06,-3.2134602293947413e-06,1.5699460804213647,1.3455233423464677e-05,0.2511938131300636,5.1143339461998e-06,-0.4664451479911804,-1.0411418676376343,-1.925966739654541,5.0
-2.41847125425507e-06,-8.428662493629109e-07,1.5699526640076258,1.2008686352856098e-05,0.31400811284290636,9.43978176035964e-07,-0.46629199385643005,-1.0523440837860107,-1.9266390800476074,5.0
-4.373551416623499e-06,-1.1255375115718725e-06,1.5699479829739917,1.2468568421119049e-05,0.37680691658136967,7.512649181130771e-07,-0.46510806679725647,-1.0626962184906006,-1.9254097938537598,5.0
-1.1497237996912942e-05,4.860660501161034e-06,1.569950129986852,1.1159305038546046e-05,0.43960160809190374,4.110846269196307e-06,-0.4637594521045685,-1.0729824304580688,-1.9239393472671509,5.0
-4.626173993569679e-06,1.9045480727909717e-06,1.5699503150863923,9.012336742815786e-06,0.5024105408514535,2.9247204632126886e-06,-0.4616275727748871,-1.082597017288208,-1.9211629629135132,5.0
-1.3301072606544868e-05,-3.092789845050987e-06,1.5699503689162313,1.1399550382437024e-05,0.5651973061108605,-2.9719077414631816e-06,-0.45901164412498474,-1.0921947956085205,-1.9182837009429932,5.0
